bpi_rank,Team_Name,Conference,W-L,bpi_off,bpi_def,bpi_rating,seven_day_rank_change
229,James Madison,CAA,10-23,-3.1,-0.4,-3.5,1
230,Sam Houston State,Southland,21-13,-4.2,0.7,-3.5,3
231,Drexel,CAA,9-23,-1.1,-2.5,-3.5,2
232,South Carolina Upstate,A-Sun,17-15,0.4,-3.9,-3.6,--
233,SE Louisiana,Southland,16-16,-4.2,0.5,-3.7,8
234,UTEP,C-USA,15-17,-2.9,-0.8,-3.8,--
235,Pacific,WCC,11-22,-2.8,-1.0,-3.8,13
236,Texas A&M-CC,Southland,20-11,-2.0,-2.0,-4.0,--
237,St Francis (PA),NEC,17-16,-1.5,-2.6,-4.1,5
238,LIU Brooklyn,NEC,20-12,-2.9,-1.2,-4.1,2
239,Charlotte,C-USA,13-17,-0.8,-3.4,-4.2,2
240,UNLV,MW,11-21,-2.0,-2.2,-4.2,27
241,Bradley,MVC,13-20,-5.2,0.9,-4.3,8
242,Bowling Green,MAC E,13-19,-3.1,-1.3,-4.3,4
243,Oral Roberts,Summit,8-22,0.1,-4.4,-4.3,1
244,Tennessee Tech,Ohio Valley E,12-20,-3.7,-0.6,-4.4,1
245,Fairleigh Dickinson,NEC,11-19,-0.3,-4.0,-4.4,--
246,Jacksonville,A-Sun,17-16,-0.2,-4.2,-4.4,7
247,Cleveland State,Horizon,9-22,-5.5,1.0,-4.4,--
248,Appalachian St,Sun Belt,9-21,-2.5,-2.0,-4.5,10
249,Montana State,Big Sky,16-16,-0.6,-3.8,-4.5,1
250,Houston Baptist,Southland,17-14,-0.1,-4.5,-4.6,13
251,NJIT,A-Sun,11-20,-3.1,-1.4,-4.6,1
252,UIC,Horizon,15-18,-2.7,-1.9,-4.6,1
253,Army,Patriot,13-19,-4.3,-0.4,-4.7,1
254,CS Fullerton,Big West,17-14,-4.5,-0.3,-4.8,11
255,Tulane,American,6-25,-2.1,-2.8,-4.8,2
256,Southeast Missouri State,Ohio Valley W,15-18,-1.4,-3.6,-5.0,1
257,High Point,Big South,15-16,-3.1,-1.9,-5.0,--
258,Louisiana Monroe,Sun Belt,9-24,-3.9,-1.1,-5.0,2
259,Stephen F. Austin,Southland,18-14,-5.5,0.5,-5.0,3
260,Air Force,MW,12-21,-0.0,-5.0,-5.0,6
261,Kennesaw State,A-Sun,14-18,-1.3,-3.8,-5.2,2
262,Campbell,Big South,18-17,-2.2,-3.1,-5.2,6
263,Robert Morris,NEC,14-19,-8.1,2.9,-5.2,5
264,Cornell,Ivy,8-21,-2.8,-2.4,-5.3,3
265,UMKC,WAC,17-16,-1.5,-3.8,-5.3,9
266,Loyola (MD),Patriot,15-16,-4.8,-0.5,-5.3,2
267,Brown,Ivy,13-17,-0.7,-4.7,-5.4,1
268,CSU Northridge,Big West,11-19,-0.1,-5.6,-5.7,5
269,Eastern Kentucky,Ohio Valley E,12-19,-3.3,-2.4,-5.7,--
270,Niagara,MAAC,10-23,-2.9,-2.9,-5.8,2
271,Portland,WCC,11-22,-3.4,-2.4,-5.8,1
272,Colgate,Patriot,10-22,-3.3,-2.6,-5.8,1
273,UMass Lowell,Am. East,11-20,-0.0,-6.0,-6.0,--
274,Northern Colorado,Big Sky,11-18,-4.0,-2.0,-6.0,--
275,San Diego,WCC,13-18,-3.6,-2.6,-6.1,--
276,Charleston Southern,Big South,12-19,-1.0,-5.1,-6.1,2
277,Bryant,NEC,12-20,-1.4,-4.8,-6.2,1
278,Miami (OH),MAC E,11-21,-5.8,-0.4,-6.2,1
279,Manhattan,MAAC,10-22,-4.7,-1.5,-6.2,1
280,Quinnipiac,MAAC,10-21,-2.3,-4.0,-6.3,1
281,Sacramento State,Big Sky,13-18,-1.8,-4.5,-6.3,4
282,Oregon State,Pac-12,5-27,-4.9,-1.5,-6.4,--
283,Drake,MVC,7-24,-1.5,-4.9,-6.5,2
284,Florida International,C-USA,7-24,-1.8,-4.7,-6.5,--
285,UT San Antonio,C-USA,14-19,-5.9,-0.6,-6.5,2
286,Saint Louis,A 10,12-21,-5.9,-0.8,-6.6,2
287,Milwaukee,Horizon,11-24,-2.9,-3.8,-6.7,--
288,Alcorn State,SWAC,18-14,-5.4,-1.4,-6.9,11
289,Florida Atlantic,C-USA,10-20,-4.4,-2.4,-6.9,3
290,Western Illinois,Summit,8-20,-4.8,-2.2,-7.0,--
291,Youngstown St,Horizon,13-21,-1.8,-5.2,-7.0,2
292,Radford,Big South,14-18,-5.4,-1.6,-7.1,--
293,Detroit Mercy,Horizon,8-23,-0.9,-6.2,-7.1,2
294,The Citadel,Southern,12-21,0.2,-7.3,-7.1,2
295,Binghamton,Am. East,12-20,-4.1,-3.0,-7.1,2
296,Dartmouth,Ivy,7-20,-3.5,-3.7,-7.1,1
297,South Florida,American,7-23,-5.3,-1.9,-7.2,1
298,Seattle,WAC,13-17,-5.8,-1.5,-7.3,4
299,UC Riverside,Big West,7-21,-7.1,-0.4,-7.5,2
300,Sacred Heart,NEC,13-19,-4.4,-3.2,-7.6,--
301,Delaware,CAA,13-20,-4.8,-2.9,-7.6,1
302,Norfolk State,MEAC,17-17,-6.3,-1.4,-7.7,1
303,Austin Peay,Ohio Valley W,11-19,-0.1,-7.6,-7.7,2
