rpi
123	St Johns (14-19)	0.522	4	277	123
124	Texas Tech (18-14)	0.521	40	270	124
125	GA Southern (16-14)	0.521	79	309	125
126	Arizona St (15-18)	0.521	79	255	126
127	Santa Clara (16-16)	0.521	4	322	127
128	N Hampshire (17-12)	0.521	96	337	128
129	Yale (17-11)	0.520	9	143	129
130	UC Irvine (19-14)	0.520	77	282	130
131	Albany (20-13)	0.519	3	194	131
132	St Peters (19-13)	0.519	126	328	132
133	Grand Canyon (20-9)	0.519	49	233	133
134	La Salle (15-15)	0.519	57	286	134
135	Tulsa (15-17)	0.518	69	287	135
136	Northeastrn (15-16)	0.518	31	269	136
137	Temple (16-16)	0.518	16	340	137
138	Old Dominion (19-12)	0.517	38	244	138
139	Neb Omaha (17-14)	0.517	36	221	139
140	Chattanooga (17-12)	0.516	6	144	140
141	NC State (15-17)	0.516	24	277	141
142	Kent State (21-13)	0.515	18	310	142
143	Harvard (16-10)	0.515	94	342	143
144	North Dakota (19-9)	0.515	144	350	144
145	S Illinois (16-16)	0.514	50	250	145
146	Buffalo (15-15)	0.514	44	190	146
147	Troy (20-14)	0.511	101	292	147
148	Miss State (16-16)	0.511	100	246	148
149	E Washingtn (20-11)	0.510	57	349	149
150	Mt St Marys (19-15)	0.509	19	273	150
151	Jksnville St (18-14)	0.509	37	318	151
152	Wyoming (16-14)	0.508	60	278	152
153	Loyola Mymt (14-15)	0.508	139	345	153
154	New Orleans (17-11)	0.508	86	337	154
155	Toledo (16-16)	0.506	8	201	155
156	S Dakota St (16-16)	0.506	76	339	156
157	Texas (11-22)	0.506	32	346	157
158	WI-Grn Bay (16-13)	0.506	91	303	158
159	TX A&M-CC (17-11)	0.506	58	313	159
160	Elon (16-14)	0.504	4	304	160
161	TN State (15-13)	0.504	2	176	161
162	N Iowa (13-16)	0.504	3	204	162
163	UC Davis (20-12)	0.504	1	293	163
164	TN Martin (19-12)	0.503	54	326	164
165	Maryland BC (16-12)	0.502	67	329	165
166	Wash State (12-18)	0.502	23	256	166
167	Rice (20-11)	0.502	78	272	167
168	Oklahoma (11-20)	0.502	5	175	168
169	Liberty (17-13)	0.502	53	334	173
170	Ball State (20-12)	0.502	52	347	169
171	Samford (17-15)	0.501	66	314	170
172	Canisius (18-15)	0.501	77	290	171
173	Rutgers (14-18)	0.500	14	278	172
174	E Michigan (12-17)	0.499	16	231	174
175	Houston Bap (13-13)	0.499	92	323	175
176	Stony Brook (18-13)	0.498	91	331	176
177	IPFW (16-12)	0.498	66	240	177
